id;nom;nom_de_famille;prenom;sexe;date_naissance;num_deptmt;parti_ratt_financier;profession;place_en_hemicycle;nb_mandats;nb_mois;semaines_presence;semaines_presence_moyenne_mensuelle;commission_presences;commission_presences_moyenne_mensuelle;commission_interventions;commission_interventions_moyenne_mensuelle;hemicycle_interventions;hemicycle_interventions_moyenne_mensuelle;hemicycle_interventions_courtes;hemicycle_interventions_courtes_moyenne_mensuelle;amendements_proposes;amendements_proposes_moyenne_mensuelle;amendements_signes;amendements_signes_moyenne_mensuelle;amendements_adoptes;amendements_adoptes_moyenne_mensuelle;rapports;rapports_moyenne_mensuelle;propositions_ecrites;propositions_ecrites_moyenne_mensuelle;propositions_signees;propositions_signees_moyenne_mensuelle;questions_ecrites;questions_ecrites_moyenne_mensuelle;questions_orales;questions_orales_moyenne_mensuelle
180;Gérard Bapt;Bapt;Gérard;H;1946-02-04;31;Parti socialiste;Médecin cardiologue;351;2;47;164;3.49;351;7.47;890;18.94;1360;28.94;1102;23.45;935;19.89;1558;33.15;1109;23.6;36;0.77;0;0;59;1.26;15;0.32;9;0.19
413;Jean-Pierre Barbier;Barbier;Jean-Pierre;H;1960-11-11;38;Les Républicains;Pharmacien;64;3;47;122;2.6;155;3.3;365;7.77;374;7.96;370;7.87;255;5.43;3919;83.38;121;2.57;0;0;4;0.09;197;4.19;310;6.6;20;0.43
600;Frédéric Barbier;Barbier;Frédéric;H;1960-08-30;25;Parti socialiste;Cadre ERDF;558;2;39;117;3;213;5.46;98;2.51;98;2.51;30;0.77;89;2.28;383;9.82;137;3.51;2;0.05;0;0;69;1.77;86;2.21;10;0.26
390;Serge Bardy;Bardy;Serge;H;1947-11-06;49;Parti socialiste;Retraité du secteur privé;525;1;47;129;2.74;206;4.38;137;2.91;68;1.45;45;0.96;169;3.6;1775;37.77;387;8.23;2;0.04;0;0;75;1.6;116;2.47;8;0.17
572;Ericka Bareigts;Bareigts;Ericka;F;1967-04-16;974;Parti socialiste;Cadre territorial;576;2;37;64;1.73;132;3.57;195;5.27;145;3.92;126;3.41;252;6.81;1064;28.76;434;11.73;7;0.19;0;0;52;1.41;60;1.62;5;0.14
306;François Baroin;Baroin;François;H;1965-06-21;10;Union pour un Mouvement Populaire;Avocat à la Cour;92;3;22;42;1.91;50;2.27;4;0.18;16;0.73;7;0.32;0;0;771;35.05;31;1.41;0;0;0;0;0;0;79;3.59;0;0
275;Claude Bartolone;Bartolone;Claude;H;1951-07-29;93;Parti socialiste;Cadre de l'industrie pharmaceutique;494;2;47;178;3.79;72;1.53;397;8.45;4587;97.6;18091;384.91;0;0;1;0.02;1;0.02;3;0.06;2;0.04;46;0.98;0;0;0;0
52;Christian Bataille;Bataille;Christian;H;1946-05-13;59;Parti socialiste;Professeur de lettres;354;2;47;143;3.04;263;5.6;119;2.53;21;0.45;6;0.13;8;0.17;50;1.06;4;0.09;8;0.17;0;0;58;1.23;32;0.68;5;0.11
132;Delphine Batho;Batho;Delphine;F;1973-03-23;79;Parti socialiste;Cadre territorial;453;1;37;109;2.95;214;5.78;496;13.41;258;6.97;154;4.16;187;5.05;502;13.57;141;3.81;3;0.08;2;0.05;59;1.59;141;3.81;1;0.03
138;Marie-Noëlle Battistel;Battistel;Marie-Noëlle;F;1956-08-20;38;Parti socialiste;Sans profession declaree;259;2;47;172;3.66;521;11.09;615;13.09;322;6.85;238;5.06;428;9.11;1160;24.68;509;10.83;14;0.3;0;0;61;1.3;74;1.57;14;0.3
458;Philippe Baumel;Baumel;Philippe;H;1961-11-14;71;Parti socialiste;Cadre du secteur public;599;2;47;158;3.36;327;6.96;138;2.94;77;1.64;107;2.28;11;0.23;1105;23.51;243;5.17;16;0.34;0;0;74;1.57;75;1.6;9;0.19
544;Laurent Baumel;Baumel;Laurent;H;1965-08-13;37;Parti socialiste;Cadre supérieur du secteur public;601;3;47;103;2.19;151;3.21;39;0.83;98;2.09;35;0.74;105;2.23;497;10.57;99;2.11;1;0.02;0;0;55;1.17;17;0.36;4;0.09
486;Denis Baupin;Baupin;Denis;H;1962-06-02;75;Parti socialiste;Ingénieur;397;2;47;150;3.19;323;6.87;1708;36.34;4063;86.45;18113;385.38;1509;32.11;6552;139.4;1003;21.34;8;0.17;4;0.09;51;1.09;61;1.3;27;0.57
395;Nicolas Bays;Bays;Nicolas;H;1977-05-01;62;Parti socialiste;Cadre supérieur du secteur privé;615;2;47;127;2.7;160;3.4;97;2.06;57;1.21;267;5.68;25;0.53;420;8.94;77;1.64;3;0.06;0;0;64;1.36;61;1.3;9;0.19
406;Catherine Beaubatie;Beaubatie;Catherine;F;1964-02-10;87;Parti socialiste;Professeur du secondaire;552;2;47;135;2.87;204;4.34;92;1.96;78;1.66;52;1.11;19;0.4;1126;23.96;285;6.06;2;0.04;0;0;86;1.83;129;2.74;9;0.19
380;Marie-Françoise Bechtel;Bechtel;Marie-Françoise;F;1946-03-19;2;Parti radical de gauche;Conseiller d'État;250;1;47;142;3.02;196;4.17;381;8.11;451;9.6;379;8.06;250;5.32;453;9.64;72;1.53;3;0.06;1;0.02;36;0.77;19;0.4;21;0.45
596;Jean-Marie Beffara;Beffara;Jean-Marie;H;1962-10-13;37;Parti socialiste;Cadre associatif;644;2;46;119;2.59;210;4.57;38;0.83;36;0.78;18;0.39;43;0.93;381;8.28;156;3.39;7;0.15;0;0;60;1.3;22;0.48;3;0.07
208;Huguette Bello;Bello;Huguette;F;1950-08-24;974;Pour la Réunion;Directrice d'école maternelle;594;2;47;56;1.19;38;0.81;43;0.91;151;3.21;73;1.55;267;5.68;1500;31.91;84;1.79;1;0.02;3;0.06;27;0.57;62;1.32;26;0.55
560;Luc Belot;Belot;Luc;H;1974-09-06;49;Parti socialiste;Permanent politique;251;2;47;149;3.17;232;4.94;371;7.89;416;8.85;505;10.74;321;6.83;766;16.3;410;8.72;8;0.17;2;0.04;65;1.38;147;3.13;10;0.21
538;Jacques Alain Bénisti;Bénisti;Jacques Alain;H;1952-04-10;94;Les Républicains;Cadre d'entreprise;122;2;47;128;2.72;137;2.91;94;2;133;2.83;166;3.53;163;3.47;3228;68.68;92;1.96;6;0.13;2;0.04;235;5;155;3.3;16;0.34
62;Thierry Benoit;Benoit;Thierry;H;1966-09-13;35;Union des Radicaux, Centristes, Indépendants et Démocrates;Représentant de commerce;245;2;47;165;3.51;292;6.21;577;12.28;855;18.19;1418;30.17;751;15.98;4051;86.19;182;3.87;4;0.09;4;0.09;55;1.17;118;2.51;48;1.02
397;Karine Berger;Berger;Karine;F;1973-03-11;5;Parti socialiste;Cadre supérieur du secteur privé;516;2;47;136;2.89;241;5.13;678;14.43;559;11.89;299;6.36;410;8.72;851;18.11;300;6.38;11;0.23;0;0;57;1.21;20;0.43;7;0.15
605;Sylvain Berrios;Berrios;Sylvain;H;1968-05-06;94;Les Républicains;Sans profession declaree;230;2;42;147;3.5;170;4.05;88;2.1;420;10;812;19.33;313;7.45;3840;91.43;108;2.57;0;0;17;0.4;298;7.1;151;3.6;24;0.57
126;Chantal Berthelot;Berthelot;Chantal;F;1958-09-12;973;Parti socialiste guyanais;Agricultrice;248;1;47;75;1.6;109;2.32;301;6.4;164;3.49;77;1.64;213;4.53;1263;26.87;491;10.45;1;0.02;0;0;46;0.98;24;0.51;9;0.19
331;Xavier Bertrand;Bertrand;Xavier;H;1965-03-21;2;Les Républicains;Agent d'assurance;165;4;35;85;2.43;92;2.63;37;1.06;320;9.14;214;6.11;56;1.6;1642;46.91;52;1.49;1;0.03;4;0.11;56;1.6;289;8.26;11;0.31
171;Véronique Besse;Besse;Véronique;F;1963-08-11;85;Debout la France;Journaliste;325;2;47;101;2.15;113;2.4;45;0.96;80;1.7;13;0.28;120;2.55;941;20.02;12;0.26;0;0;12;0.26;145;3.09;325;6.91;9;0.19
176;Gisèle Biémouret;Biémouret;Gisèle;F;1952-06-16;32;Parti socialiste;Assistante parlementaire;337;2;47;119;2.53;201;4.28;182;3.87;76;1.62;11;0.23;27;0.57;968;20.6;442;9.4;2;0.04;0;0;77;1.64;199;4.23;11;0.23
443;Philippe Bies;Bies;Philippe;H;1964-01-14;67;Parti socialiste;Sans profession declaree;382;2;47;154;3.28;308;6.55;599;12.74;370;7.87;346;7.36;272;5.79;2389;50.83;1201;25.55;4;0.09;0;0;82;1.74;43;0.91;8;0.17
444;Erwann Binet;Binet;Erwann;H;1972-07-30;38;Parti socialiste;Fonctionnaire de catégorie A;567;2;47;153;3.26;234;4.98;355;7.55;743;15.81;522;11.11;240;5.11;426;9.06;302;6.43;9;0.19;1;0.02;63;1.34;39;0.83;11;0.23
334;Étienne Blanc;Blanc;Étienne;H;1954-08-29;1;Les Républicains;Avocat;45;4;36;111;3.08;201;5.58;87;2.42;290;8.06;176;4.89;123;3.42;2267;62.97;64;1.78;4;0.11;2;0.06;200;5.56;60;1.67;13;0.36
460;Jean-Pierre Blazy;Blazy;Jean-Pierre;H;1949-11-24;95;Parti socialiste;Professeur;618;2;47;84;1.79;80;1.7;28;0.6;88;1.87;195;4.15;46;0.98;698;14.85;98;2.09;3;0.06;0;0;68;1.45;151;3.21;4;0.09
344;Yves Blein;Blein;Yves;H;1954-10-12;69;Parti socialiste;Cadre supérieur du secteur privé;441;2;47;171;3.64;394;8.38;727;15.47;378;8.04;113;2.4;619;13.17;1565;33.3;740;15.74;8;0.17;0;0;72;1.53;95;2.02;18;0.38
417;Jean-Luc Bleunven;Bleunven;Jean-Luc;H;1958-12-20;29;Parti socialiste;Agriculteur-propriétaire exploitant;637;2;47;170;3.62;427;9.09;100;2.13;54;1.15;14;0.3;107;2.28;1281;27.26;293;6.23;3;0.06;1;0.02;86;1.83;276;5.87;11;0.23
321;Patrick Bloche;Bloche;Patrick;H;1956-07-04;75;Parti socialiste;Directeur commercial;428;3;47;166;3.53;328;6.98;1673;35.6;1129;24.02;403;8.57;358;7.62;650;13.83;405;8.62;19;0.4;2;0.04;68;1.45;0;0;11;0.23
100;Alain Bocquet;Bocquet;Alain;H;1946-05-06;59;Parti communiste Français;Éducateur spécialisé;592;2;47;103;2.19;143;3.04;125;2.66;119;2.53;153;3.26;180;3.83;4261;90.66;189;4.02;7;0.15;10;0.21;103;2.19;427;9.09;17;0.36
326;Daniel Boisserie;Boisserie;Daniel;H;1946-06-08;87;Parti socialiste;Architecte;358;2;47;140;2.98;259;5.51;199;4.23;49;1.04;59;1.26;49;1.04;626;13.32;114;2.43;5;0.11;0;0;76;1.62;208;4.43;8;0.17
362;Pascale Boistard;Boistard;Pascale;F;1971-01-04;80;Parti socialiste;Cadre du secteur privé;549;2;22;59;2.68;81;3.68;211;9.59;26;1.18;26;1.18;14;0.64;143;6.5;43;1.95;3;0.14;1;0.05;7;0.32;31;1.41;5;0.23
470;Jacques Bompard;Bompard;Jacques;H;1943-02-24;84;Debout la France;Docteur en chirurgie dentaire;68;2;47;109;2.32;148;3.15;143;3.04;553;11.77;109;2.32;889;18.91;969;20.62;5;0.11;0;0;34;0.72;50;1.06;911;19.38;6;0.13
551;Michèle Bonneton;Bonneton;Michèle;F;1947-07-15;38;Europe Écologie Les Verts;Retraitée de l'enseignement;301;1;47;165;3.51;408;8.68;773;16.45;489;10.4;216;4.6;684;14.55;6676;142.04;771;16.4;5;0.11;1;0.02;47;1;105;2.23;27;0.57
70;Marcel Bonnot;Bonnot;Marcel;H;1946-05-24;25;Les Républicains;Avocat, ancien bâtonnier de l'Ordre;18;2;47;84;1.79;97;2.06;14;0.3;20;0.43;13;0.28;145;3.09;2899;61.68;98;2.09;1;0.02;5;0.11;268;5.7;278;5.91;4;0.09
552;Christophe Borgel;Borgel;Christophe;H;1963-09-03;31;Parti socialiste;Industriel-Chef d'entreprise;445;2;47;141;3;219;4.66;187;3.98;345;7.34;216;4.6;109;2.32;612;13.02;227;4.83;11;0.23;0;0;71;1.51;13;0.28;6;0.13
160;Jean-Louis Borloo;Borloo;Jean-Louis;H;1951-04-07;59;Union des radicaux, centristes, indépendants et démocrates;Avocat;212;2;18;28;1.56;2;0.11;6;0.33;176;9.78;110;6.11;10;0.56;1083;60.17;25;1.39;0;0;4;0.22;13;0.72;0;0;10;0.56
66;Jean-Claude Bouchet;Bouchet;Jean-Claude;H;1957-05-02;84;Les Républicains;Gérant de société;24;2;47;93;1.98;113;2.4;24;0.51;21;0.45;11;0.23;75;1.6;3253;69.21;101;2.15;0;0;6;0.13;363;7.72;412;8.77;8;0.17
471;Florent Boudié;Boudié;Florent;H;1973-09-22;33;Parti socialiste;Cadre supérieur du secteur public;467;2;47;157;3.34;246;5.23;271;5.77;175;3.72;231;4.91;394;8.38;1486;31.62;451;9.6;3;0.06;0;0;64;1.36;196;4.17;8;0.17
67;Marie-Odile Bouillé;Bouillé;Marie-Odile;F;1950-10-13;44;Parti socialiste;Sage-femme;332;3;47;134;2.85;183;3.89;69;1.47;30;0.64;16;0.34;2;0.04;224;4.77;88;1.87;1;0.02;0;0;64;1.36;89;1.89;7;0.15
329;Christophe Bouillon;Bouillon;Christophe;H;1969-03-04;76;Parti socialiste;Fonctionnaire de catégorie A;458;2;47;152;3.23;299;6.36;189;4.02;127;2.7;52;1.11;96;2.04;1065;22.66;352;7.49;4;0.09;0;0;74;1.57;246;5.23;12;0.26
104;Gilles Bourdouleix;Bourdouleix;Gilles;H;1960-04-15;49;Association PSLE - Nouveau centre;Avocat;322;2;47;89;1.89;98;2.09;40;0.85;88;1.87;19;0.4;291;6.19;944;20.09;15;0.32;1;0.02;7;0.15;25;0.53;164;3.49;3;0.06
571;Brigitte Bourguignon;Bourguignon;Brigitte;F;1959-03-21;62;Parti socialiste;Fonctionnaire de catégorie B;616;2;47;153;3.26;238;5.06;91;1.94;96;2.04;252;5.36;50;1.06;893;19;340;7.23;4;0.09;0;0;67;1.43;55;1.17;13;0.28
365;Malek Boutih;Boutih;Malek;H;1964-10-27;91;Parti socialiste;Cadre supérieur du secteur privé;580;1;47;89;1.89;94;2;24;0.51;33;0.7;20;0.43;15;0.32;152;3.23;43;0.91;1;0.02;0;0;46;0.98;16;0.34;6;0.13
449;Kheira Bouziane-Laroussi;Bouziane-Laroussi;Kheira;F;1953-08-23;21;Parti socialiste;Professeur du secondaire;559;2;47;147;3.13;270;5.74;143;3.04;93;1.98;57;1.21;122;2.6;2745;58.4;730;15.53;2;0.04;0;0;84;1.79;375;7.98;6;0.13
175;Valérie Boyer;Boyer;Valérie;F;1962-06-11;13;Les Républicains;Cadre du secteur hospitalier;134;3;47;110;2.34;125;2.66;164;3.49;441;9.38;478;10.17;825;17.55;4401;93.64;111;2.36;2;0.04;37;0.79;234;4.98;186;3.96;18;0.38
388;Thierry Braillard;Braillard;Thierry;H;1964-01-24;69;Parti radical de gauche;Avocat;276;4;18;65;3.61;106;5.89;200;11.11;469;26.06;326;18.11;191;10.61;874;48.56;100;5.56;3;0.17;4;0.22;20;1.11;104;5.78;11;0.61
461;Emeric Bréhier;Bréhier;Emeric;H;1971-12-26;77;Parti socialiste;Fonctionnaire de catégorie A;447;2;47;131;2.79;202;4.3;72;1.53;80;1.7;49;1.04;29;0.62;482;10.26;215;4.57;3;0.06;0;0;63;1.34;40;0.85;6;0.13
643;Marine Brenier;Brenier;Marine;F;1986-08-11;6;Les Républicains;Juriste;152;2;8;16;2;14;1.75;0;0;18;2.25;1;0.13;24;3;537;67.13;25;3.13;0;0;12;1.5;67;8.38;22;2.75;5;0.63
324;Xavier Breton;Breton;Xavier;H;1962-11-25;1;Les Républicains;Cadre territorial;51;2;47;159;3.38;263;5.6;255;5.43;1052;22.38;753;16.02;1383;29.43;4595;97.77;119;2.53;2;0.04;4;0.09;168;3.57;109;2.32;21;0.45
155;Philippe Briand;Briand;Philippe;H;1960-10-26;37;Les Républicains;Chef d'entreprise et assureur;177;2;47;34;0.72;6;0.13;5;0.11;6;0.13;87;1.85;1;0.02;1849;39.34;63;1.34;0;0;0;0;160;3.4;270;5.74;0;0
506;Jean-Louis Bricout;Bricout;Jean-Louis;H;1957-12-27;2;Parti socialiste;Cadre du secteur privé;564;2;47;161;3.43;396;8.43;304;6.47;223;4.74;116;2.47;118;2.51;1329;28.28;412;8.77;2;0.04;0;0;68;1.45;214;4.55;15;0.32
525;Jean-Jacques Bridey;Bridey;Jean-Jacques;H;1953-05-07;94;Parti socialiste;Cadre supérieur du secteur privé;407;2;47;142;3.02;327;6.96;88;1.87;34;0.72;46;0.98;7;0.15;170;3.62;73;1.55;9;0.19;0;0;45;0.96;0;0;4;0.09
330;Bernard Brochand;Brochand;Bernard;H;1938-06-05;6;Les Républicains;Cadre du secteur privé retraité;103;2;47;21;0.45;22;0.47;1;0.02;0;0;0;0;0;0;2353;50.06;77;1.64;0;0;0;0;233;4.96;51;1.09;0;0
168;François Brottes;Brottes;François;H;1956-03-31;38;Parti socialiste;Directeur associé de société;433;2;31;128;4.13;506;16.32;5153;166.23;1593;51.39;2029;65.45;360;11.61;598;19.29;396;12.77;4;0.13;3;0.1;36;1.16;141;4.55;2;0.06
